% Device	CC1138020						
% File name	CC1138020_20150801_170916						
% Cast time (UTC)	01/08/2015 17:09						
% Cast time (local)	01/08/2015 17:09						
% Sample type	Cast						
% Cast data	Processed						
% Location source	GPS						
% Default latitude	32						
% Default altitude	0						
% Start latitude	45.19989						
% Start longitude	-65.9896599						
% Start altitude	-7.460000038						
% Start GPS horizontal error(Meter)	1.379999995						
% Start GPS vertical error(Meter)	1.669999957						
% Start GPS number of satellites	10						
% End latitude	45.1998191						
% End longitude	-65.990245						
% End altitude	-4.960000038						
% End GPS horizontal error(Meter)	1.730000019						
% End GPS vertical error(Meter)	2.299999952						
% End GPS number of satellites	9						
% Cast duration (Seconds)	90.6						
% Samples per second	5						
% Electronics calibration date	0001-01-01						
% Conductivity calibration date	30/09/2011						
% Temperature calibration date	30/09/2011						
% Pressure calibration date	30/09/2011						
% 							
Pressure (Decibar)	Depth (Meter)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)	Specific conductance (MicroSiemens per Centimeter)	Salinity (Practical Salinity Scale)	Sound velocity (Meters per Second)	Density (Kilograms per Cubic Meter)
17.25	17.17289119	10.72538638	35678.06738	49933.77399	31.89191023	1488.93622	1024.482449
17.55	17.47150585	10.71909499	35678.07146	49942.57479	31.897277	1488.925261	1024.48907
17.85	17.77011949	10.71606909	35674.11147	49941.26226	31.89585734	1488.91772	1024.489845
18.15	18.06873241	10.71374798	35675.7832	49946.84851	31.89941734	1488.918698	1024.494376
18.45	18.36734479	10.71359491	35673.48633	49943.84689	31.89714281	1488.920342	1024.493991
18.75	18.66595752	10.71388245	35669.97852	49938.5338	31.89328088	1488.921636	1024.492294
19.05	18.96457075	10.71580219	35668.77148	49934.1598	31.89028071	1488.929777	1024.490987
19.35	19.26318326	10.71210132	35671.6579	49943.37576	31.896251	1488.928757	1024.497631
19.65	19.56179403	10.70228004	35666.5957	49950.02512	31.89966624	1488.902876	1024.50334
19.95	19.86040398	10.69476366	35656.99609	49947.09649	31.89656048	1488.877314	1024.503576
20.25	20.15901345	10.68745898	35651.86886	49950.13638	31.89771427	1488.857644	1024.50709
20.55	20.45762153	10.68014431	35650.41602	49958.34056	31.90253006	1488.842358	1024.513457
20.85	20.75622781	10.67327083	35649.50479	49966.6893	31.90750048	1488.828825	1024.519867
21.15	21.05483255	10.67277908	35653.1875	49972.53987	31.91146592	1488.8368	1024.524398
21.45	21.35343659	10.66985202	35649.15527	49970.98846	31.90988647	1488.829404	1024.525031
21.75	21.65204064	10.66823959	35645.37305	49967.94551	31.90740701	1488.825602	1024.524737
22.05	21.95064475	10.66625804	35641.9303	49965.89529	31.90558745	1488.821282	1024.525021
22.35	22.24924817	10.65665722	35635.98438	49971.01124	31.90793371	1488.794856	1024.529856
22.65	22.54784952	10.63914599	35627.77457	49984.04644	31.91494112	1488.745868	1024.539678
22.95	22.8464471	10.60754681	35612.47852	50006.92509	31.92721832	1488.652992	1024.556014
23.25	23.14504212	10.59990311	35604.5625	50006.54411	31.92589371	1488.629063	1024.557652
23.55	23.44363595	10.59686661	35608.60547	50016.48862	31.93245215	1488.631094	1024.564638
23.85	23.74222768	10.58551264	35604.47461	50026.64282	31.9381476	1488.602407	1024.572376
24.15	24.04081883	10.58701544	35600.27635	50018.63167	31.93252129	1488.605901	1024.569098
24.45	24.33941086	10.59599746	35605.3736	50013.17021	31.92961263	1488.639364	1024.566655
24.75	24.63800263	10.59264469	35606.02734	50018.79974	31.93307156	1488.63652	1024.571282
