% Device,CC1138019
% File name,CC1138019_20141029_130152
% Cast time (UTC),2014-10-29 13:01:52
% Cast time (local),2014-10-29 13:01:52
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,45.0436551
% Start longitude,-66.8701651
% Start altitude,-12.6899995803833
% Start GPS horizontal error(Meter),4.55000019073486
% Start GPS vertical error(Meter),7.90000009536743
% Start GPS number of satellites,8
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),242.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-10-20
% Temperature calibration date,2011-10-20
% Pressure calibration date,2011-10-20
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Salinity (Practical Salinity Scale),Density (Kilograms per Cubic Meter)
0.15,0.14932846342767497,11.974117097667591,32.092831661802904,1024.3380735422397
0.44999999999999996,0.44798844228384144,11.971570855506013,32.094908646416087,1024.3415087864862
0.74999999999999989,0.74664643700283861,11.967205538727356,32.095091286888973,1024.3438107926479
1.05,1.0453051654835694,11.969216556184293,32.08487665790652,1024.3368650117586
1.35,1.3439642588502883,11.970188540432289,32.089593505605691,1024.3416973321523
1.65,1.6426243294129894,11.969009962889089,32.073204925542427,1024.3305514517958
1.9500000000000002,1.9412864816143769,11.9674756406687,32.067560195303031,1024.327807827611
2.25,2.239949460531562,11.969988284479113,32.063146077269614,1024.3252701730689
2.55,2.53861302468531,11.971410650991174,32.060341289017863,1024.3241829694412
2.85,2.8372795040811902,11.971517659447889,32.034755350241419,1024.3056633057995
3.15,3.1359459522256685,11.974328206247652,32.058329878532646,1024.3247868431145
3.4499999999999997,3.4346099323032653,11.972686627359474,32.053869060835936,1024.3229818457207
3.75,3.733274107351364,11.973135403464967,32.05333796428792,1024.3238389734941
4.05,4.0319373083473513,11.971202447800884,32.059142517483082,1024.3300527566096
4.35,4.3306000647992562,11.971970951114487,32.054006527540146,1024.3272777722486
4.6499999999999995,4.6292626434992128,11.971191335679141,32.057727673382281,1024.3316615421666
4.9499999999999993,4.9279242103246359,11.969135405933239,32.0592921058475,1024.3346081790264
5.2499999999999991,5.2265859322481223,11.969737746043137,32.053026069558172,1024.330987156475
5.55,5.5252472467957183,11.970349594008711,32.060199715472663,1024.3377920872422
5.85,5.8239078481725377,11.971711108624971,32.056818290761143,1024.3362686422183
6.1499999999999995,6.1225682373498529,11.971583960737695,32.059386720545128,1024.3396371851407
6.4499999999999993,6.4212280168766576,11.970296492900069,32.058887072256368,1024.3408400728486
6.7499999999999991,6.7198876077663581,11.971228426048221,32.057986080072453,1024.3413206585331
7.0499999999999989,7.0185471848826468,11.974224618049092,32.056962739675811,1024.3413240554175
7.35,7.3172063202633479,11.977782997596531,32.060472530406081,1024.3447402943289
7.6499999999999995,7.6158649072947737,11.978558592691055,32.0598619499544,1024.3454750204621
7.9499999999999993,7.9145228736557254,11.97832052655335,32.063105012328705,1024.3493873860348
8.25,8.213181046711,11.976923586008214,32.05466069261859,1024.3444466743836
8.5499999999999989,8.5118389588411372,11.972972288800319,32.061151715093658,1024.3515667594195
8.85,8.810496057419126,11.974456575199175,32.058281236716567,1024.3504168682669
9.1499999999999986,9.1091529527219564,11.97657124518371,32.060824782701872,1024.3533506748129
9.45,9.407808955079549,11.974442826214395,32.063189545586347,1024.3569317473198
9.75,9.7064642013541924,11.972158028072069,32.063472707076613,1024.3589267379984
10.049999999999999,10.005119183907896,11.975256472781819,32.062732198887744,1024.3591303231365
10.35,10.303774037723905,11.977288845016924,32.062852746470867,1024.36019935816
10.649999999999999,10.60242825477698,11.977379061547106,32.065885894656851,1024.363887922487
10.95,10.901081858090347,11.973720307124461,32.064443833007921,1024.3647990286688
11.25,11.199735107464747,11.972229863069325,32.064802442580422,1024.3667054100104
11.549999999999999,11.498387510949337,11.971534975912004,32.06841796721,1024.3709912776239
11.85,11.797039863887884,11.971162789367476,32.062011301086926,1024.3674416529721
12.149999999999999,12.095692214470995,11.971133100418015,32.065359596176343,1024.3713969392818
12.45,12.394344125516069,11.972462377450604,32.063224735834829,1024.370846361074
12.75,12.692996264091459,11.971848822969406,32.060535455554621,1024.3702255899511
13.049999999999999,12.991647577461775,11.975584991243332,32.068283887662894,1024.3768967769008
13.35,13.290298032830968,11.973101698070908,32.065437971957444,1024.3765009783558
13.649999999999999,13.588947793599521,11.972858813170404,32.070791367753912,1024.3820512971859
13.95,13.887596847883968,11.975379249187643,32.069245777829074,1024.3817370144418
14.249999999999998,14.186245829186245,11.9738597247527,32.068692679197618,1024.3829414661977
14.549999999999999,14.484894391322042,11.971693367876121,32.069088605738678,1024.3850020538866
14.85,14.783543092886642,11.972519026177627,32.06415643681828,1024.3823744683325
15.149999999999999,15.082192298573979,11.976145443138746,32.062711430483368,1024.3819332062365
15.45,15.380841189661938,11.973888087326895,32.0642822142574,1024.3849221625812
15.749999999999998,15.679489654353569,11.976323261077418,32.0635412642347,1024.385247840645
16.05,15.978137669142809,11.975651695915486,32.065698816906064,1024.3883980708665
16.35,16.276785283623578,11.977406454564605,32.064356848539241,1024.3883835254972
16.650000000000002,16.575433026192819,11.979660205641283,32.062541102164026,1024.3879088585002
16.95,16.874080798227233,11.976317822163351,32.060853137572138,1024.3885708873149
17.115333752895523,17.038668982221846,11.973939895629883,32.064302402634937,1024.3924326979598
