% Device,CC1138019
% File name,CC1138019_20141029_132750
% Cast time (UTC),2014-10-29 13:27:50
% Cast time (local),2014-10-29 13:27:50
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),354.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-10-20
% Temperature calibration date,2011-10-20
% Pressure calibration date,2011-10-20
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Salinity (Practical Salinity Scale),Density (Kilograms per Cubic Meter)
0.15,0.14949464032232371,12.110396385192871,32.197459385302579,1024.3939079674328
0.44999999999999996,0.44848499885659521,12.110377769672878,32.185972747489117,1024.3863527940423
0.74999999999999989,0.74747704638552459,12.111507520788107,32.179718611026949,1024.3826420457065
1.05,1.0464702424640102,12.111062392274095,32.1730099789156,1024.3788727968331
1.35,1.345465014786877,12.110886726907685,32.162663479614714,1024.372231502475
1.65,1.6444616524115783,12.113569417738452,32.154154091865088,1024.3664817102758
1.9500000000000002,1.9434609058480215,12.114292506090642,32.137394064904896,1024.3546981869906
2.25,2.2424633592138856,12.114626889057414,32.123159680459459,1024.3449463815814
2.55,2.5414671739920509,12.115474629374637,32.122670572698695,1024.3457601896982
2.85,2.84047072143242,12.112841870412312,32.122110055556526,1024.3471681870722
3.15,3.1394742908449196,12.11479945385245,32.119332320307379,1024.3459997254633
3.4499999999999997,3.4384772730285023,12.11194522232778,32.1241000518355,1024.3515818206897
3.75,3.7374798185969214,12.112395108001708,32.119629047612904,1024.3493813774962
4.05,4.0364820398240848,12.113348635333889,32.124321288959095,1024.3541942268619
4.35,4.3354833604696665,12.114358711761224,32.125075553698608,1024.3559420634676
4.6499999999999995,4.6344841700522483,12.114137923416433,32.126044343373373,1024.3580860343657
4.9499999999999993,4.933484404089528,12.115416597376143,32.12743298236888,1024.3602757085109
5.2499999999999991,5.2324840781826643,12.112589034015274,32.127636570086807,1024.3623127976928
5.55,5.5314835483568849,12.111353770872608,32.125275015061426,1024.3620630254516
5.85,5.8304817130285542,12.111147469977736,32.135841102068042,1024.3716481698073
6.1499999999999995,6.1294778738465441,12.110770182478325,32.139855470973913,1024.3761835452876
6.4499999999999993,6.4284733286294546,12.111033422515849,32.13906951167219,1024.3768760665878
6.7499999999999991,6.727467848422986,12.109589280080776,32.144849833561018,1024.3829803241508
7.0499999999999989,7.0264613337615547,12.109666854127987,32.144897941633879,1024.3843544112733
7.35,7.3254549081564262,12.107912248810255,32.140678017071266,1024.3827601800015
7.6499999999999995,7.6244485589780187,12.108302116393954,32.140912869334251,1024.3842208064434
7.9499999999999993,7.923441610186412,12.109484978855582,32.143372525058346,1024.3872589507523
8.25,8.22243330827239,12.10667991977302,32.149495268178356,1024.393882864227
8.5499999999999989,8.5214245641889654,12.1076716436983,32.143861053792705,1024.3906789032851
8.85,8.8204159328454388,12.108742972064235,32.146014631441915,1024.3935004210612
9.1499999999999986,9.1194074370734679,12.107992910452062,32.139759355290792,1024.3901400128166
9.45,9.4183982874259353,12.107758045196533,32.148573075301805,1024.3983711048456
9.75,9.7173892979899481,12.108765733966678,32.1355486787934,1024.3894322808326
10.049999999999999,10.016380324110543,12.110257050512839,32.146056149026393,1024.3986545938949
10.35,10.315369451764182,12.110135629797926,32.149670020093218,1024.4028313588678
10.649999999999999,10.614357836011079,12.112169902137485,32.15010366149275,1024.4041388285618
10.95,10.913345596373945,12.111875504244452,32.152619988563877,1024.4074966039348
11.25,11.212332904921659,12.111492283802535,32.150951163475412,1024.4076249770269
11.549999999999999,11.511319672392583,12.110384116495283,32.15406017259204,1024.4115944450382
11.85,11.810305800385413,12.110625743865967,32.153411272558756,1024.4123971197489
12.149999999999999,12.109291519564236,12.112135285087536,32.155112944568906,1024.4147859687482
12.45,12.408277178832993,12.112729990149916,32.151466447818656,1024.4131977456061
12.75,12.707262483054912,12.114934253125222,32.155943308437884,1024.4176090620201
13.049999999999999,13.006246259485419,12.115375059417216,32.162621629218478,1024.4240572728036
13.35,13.305229279738279,12.117442093290352,32.160248025651555,1024.4231809970481
13.649999999999999,13.604211980328094,12.118329620837361,32.163177302573409,1024.426637933886
13.95,13.903193870295167,12.119526784967666,32.164932158069739,1024.4291260900548
14.249999999999998,14.202174810516079,12.120660124825591,32.16915016312047,1024.4335364569047
14.549999999999999,14.50115449398603,12.123792171478272,32.174084541383174,1024.4381285188777
14.85,14.800133224360486,12.124757766723633,32.175579242963423,1024.440458020084
15.149999999999999,15.099110813243103,12.128386335830335,32.182298627584856,1024.4463412252717
15.45,15.398087891219642,12.132156943746075,32.17889828503769,1024.444349337974
15.749999999999998,15.697065424197891,12.136430855380095,32.177238796368016,1024.443613186759
16.05,15.996041091183844,12.137042419642242,32.193586151341385,1024.457527243007
16.35,16.295015112070033,12.138692837726016,32.189350504513961,1024.4552841108257
16.650000000000002,16.593989088324836,12.139958084420744,32.191704160246196,1024.4582232054884
16.95,16.892961202869117,12.140469392162137,32.203251048179339,1024.468432942356
17.25,17.191931340497959,12.143294811248779,32.206999961272771,1024.472161649262
17.55,17.490901159346926,12.145460201371037,32.20429355350003,1024.4710077451919
17.85,17.789870293056136,12.14908504486084,32.21147374409427,1024.4772472872194
18.150000000000002,18.088838877226639,12.149322707810006,32.207103230870366,1024.4751640396353
18.45,18.387807428678943,12.151530855557976,32.20937392894421,1024.477861618436
18.75,18.686775150201832,12.150248245979435,32.211681357117989,1024.481242015295
19.05,18.985742486716216,12.152270349909021,32.209975153763772,1024.480890357306
