% Device,CC1138019
% File name,CC1138019_20140726_151951
% Cast time (UTC),2014-07-26 15:19:51
% Cast time (local),2014-07-26 15:19:51
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,45.1956698
% Start longitude,-66.3222478
% Start altitude,-12.850000381469727
% Start GPS horizontal error(Meter),2.07999992370605
% Start GPS vertical error(Meter),3.80999994277954
% Start GPS number of satellites,6
% End latitude,45.1953686
% End longitude,-66.3215473
% End altitude,-58.090000152587891
% End GPS horizontal error(Meter),24.1200008392334
% End GPS vertical error(Meter),18.3299999237061
% End GPS number of satellites,5
% Cast duration (Seconds),138.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-10-20
% Temperature calibration date,2011-10-20
% Pressure calibration date,2011-10-20
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Salinity (Practical Salinity Scale),Density (Kilograms per Cubic Meter)
0.15,0.15329471869986336,21.854235793979726,0.018737867489456276,997.82099008242631
0.44999999999999996,0.45988446934870586,21.763235743441381,0.018973182693499298,997.84300754201115
0.74999999999999989,0.76646085931845642,21.522173255291182,0.021582760868357333,997.9001934875788
1.05,1.0730221520304544,21.343389980955664,0.022328401071736389,997.94167046416419
1.35,1.3795753823990067,21.297016449261644,0.022094168207197513,997.95306254804086
1.65,1.6861262652940825,21.284106055126816,0.022180829208027893,997.9573337286887
1.9500000000000002,1.9926747011071451,21.23845167466445,0.023037750575274019,997.96937471876481
2.25,2.2992155596249404,21.085442018398339,0.02681492309324883,998.00705040049945
2.55,2.6057432634141833,20.913550611438474,0.039544083903011784,998.05541233720226
2.85,2.9122553812281158,20.792636204223996,0.073701131326002381,998.10892857994884
3.0407244051589633,3.1071150191904819,20.800271920272824,0.06987176200441518,998.105232847051
