% Device	CC1138020						
% File name	CC1138020_20150801_170916						
% Cast time (UTC)	01/08/2015 17:09						
% Cast time (local)	01/08/2015 17:09						
% Sample type	Cast						
% Cast data	Up						
% Location source	GPS						
% Default latitude	32						
% Default altitude	0						
% Start latitude	45.19989						
% Start longitude	-65.9896599						
% Start altitude	-7.460000038						
% Start GPS horizontal error(Meter)	1.379999995						
% Start GPS vertical error(Meter)	1.669999957						
% Start GPS number of satellites	10						
% End latitude	45.1998191						
% End longitude	-65.990245						
% End altitude	-4.960000038						
% End GPS horizontal error(Meter)	1.730000019						
% End GPS vertical error(Meter)	2.299999952						
% End GPS number of satellites	9						
% Cast duration (Seconds)	90.6						
% Samples per second	5						
% Electronics calibration date	0001-01-01						
% Conductivity calibration date	30/09/2011						
% Temperature calibration date	30/09/2011						
% Pressure calibration date	30/09/2011						
% 							
Pressure (Decibar)	Depth (Meter)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)	Specific conductance (MicroSiemens per Centimeter)	Salinity (Practical Salinity Scale)	Sound velocity (Meters per Second)	Density (Kilograms per Cubic Meter)
13.35	13.29089171	10.84003353	35709.48047	49817.86699	31.82488345	1489.198314	1024.392804
13.05	12.99224931	10.84646225	35705.39453	49803.23342	31.81537854	1489.204713	1024.382935
12.75	12.69360538	10.86286449	35723.84375	49806.1773	31.81951978	1489.26292	1024.381953
12.45	12.39495831	10.89848373	35737.49131	49775.76711	31.80222811	1489.363334	1024.360954
12.15	12.09630605	10.92710069	35751.24187	49755.25604	31.79112862	1489.446331	1024.345982
11.85	11.79765084	10.92120552	35738.99219	49746.3708	31.78425999	1489.412253	1024.340306
11.55	11.49899466	10.92799377	35746.41406	49747.30051	31.78583509	1489.43324	1024.338992
11.25	11.20033894	10.9214077	35745.98438	49755.82343	31.79124437	1489.411514	1024.342988
10.95	10.90168301	10.92890072	35748.41797	49748.83347	31.7872792	1489.428318	1024.33724
10.65	10.60302515	10.94664264	35759.33819	49739.46878	31.78281726	1489.480778	1024.32932
10.35	10.30436497	10.95498768	35759.32209	49727.90201	31.77569822	1489.496782	1024.32097
10.05	10.00570457	10.9382219	35750.80833	49739.25592	31.78193866	1489.440058	1024.327387
9.75	9.707044455	10.94563198	35754.34375	49733.92006	31.7791359	1489.45796	1024.322558
9.45	9.408381133	10.9573555	35746.04688	49706.16773	31.76091734	1489.472541	1024.304984
9.15	9.109714739	10.96601105	35752.19141	49702.74763	31.75961608	1489.496645	1024.301105
8.85	8.811048265	10.96673641	35758.4694	49710.47274	31.76530957	1489.501132	1024.304049
8.55	8.512381521	10.97399634	35761.36364	49704.46333	31.76200751	1489.517885	1024.298855
8.25	8.21371357	10.95590782	35738.51563	49697.69614	31.75523547	1489.440833	1024.295383
7.95	7.915048821	10.92535114	35739.04297	49740.70097	31.78234479	1489.360452	1024.320435
7.65	7.61638675	10.93691206	35744.23195	49731.91895	31.77757883	1489.390684	1024.313356
7.35	7.317726654	10.91239166	35745.13281	49767.12934	31.79984895	1489.325804	1024.33359
7.05	7.019068607	10.91304755	35738.96638	49757.6352	31.79331045	1489.31531	1024.32703
6.75	6.720407012	10.94491325	35752.13265	49731.83882	31.77882606	1489.405686	1024.308858
6.45	6.421742547	10.95116138	35758.19922	49731.63292	31.77952963	1489.423698	1024.306958
6.15	6.123077398	10.9542532	35759.10547	49728.61663	31.77787154	1489.427699	1024.303771
5.85	5.824410159	10.97145939	35764.71875	49712.6324	31.76863921	1489.472481	1024.292232
5.55	5.525740321	10.97712726	35763.93319	49703.70888	31.7630833	1489.480888	1024.285563
5.25	5.227067022	10.99533345	35762.92015	49677.16191	31.74645946	1489.520272	1024.268097
4.95	4.928388861	11.02186039	35772.65585	49654.09263	31.73325473	1489.593133	1024.251833
4.65	4.629707769	11.02405548	35771.20313	49649.05068	31.7300513	1489.592091	1024.2476
4.35	4.331026654	11.0118494	35764.17969	49656.12747	31.73379916	1489.548563	1024.25129
4.05	4.032346844	11.01009274	35770.23438	49666.95676	31.74141135	1489.546588	1024.256159
3.75	3.733668474	11.00241248	35769.41253	49676.41064	31.74736548	1489.521692	1024.260774
3.45	3.434990627	11.0070691	35774.35596	49676.85076	31.74833868	1489.534377	1024.259359
3.15	3.136311689	11.01125075	35772.19473	49668.08148	31.74271755	1489.537442	1024.252898
2.85	2.837630745	11.01465607	35767.58594	49656.98669	31.73535561	1489.535669	1024.245219
2.55	2.53894878	11.01574516	35770.79688	49659.94277	31.73770453	1489.537407	1024.245497
2.25	2.240263896	11.03688526	35768.8125	49628.05781	31.71761311	1489.582922	1024.224817
1.95	1.941574083	11.06509867	35783.98228	49610.26533	31.70832822	1489.666364	1024.2113
1.65	1.642879582	11.08636514	35784.28065	49581.44234	31.69040748	1489.714861	1024.192278
1.35	1.3441791	11.10079193	35772.61328	49545.4689	31.66662548	1489.73217	1024.169897
1.05	1.045475198	11.11031246	35782.86719	49546.60421	31.66863556	1489.763204	1024.168431
0.75	0.746771798	11.10686207	35786.625	49556.54265	31.67542631	1489.754277	1024.172959
0.45	0.448066997	11.11193468	35774.8696	49533.30514	31.65962384	1489.748208	1024.158424
0.15	0.149356084	11.15737347	35796.8204	49501.41142	31.64223083	1489.88238	1024.135557
