% Device	CC1138020		
% File name	CC1138020_20150801_170916		
% Cast time (UTC)	01/08/2015 17:09		
% Cast time (local)	01/08/2015 17:09		
% Sample type	Cast		
% Cast data	Raw		
% Location source	GPS		
% Default latitude	32		
% Default altitude	0		
% Start latitude	45.19989		
% Start longitude	-65.9896599		
% Start altitude	-7.460000038		
% Start GPS horizontal error(Meter)	1.379999995		
% Start GPS vertical error(Meter)	1.669999957		
% Start GPS number of satellites	10		
% End latitude	45.1998191		
% End longitude	-65.990245		
% End altitude	-4.960000038		
% End GPS horizontal error(Meter)	1.730000019		
% End GPS vertical error(Meter)	2.299999952		
% End GPS number of satellites	9		
% Cast duration (Seconds)	90.6		
% Samples per second	5		
% Electronics calibration date	0001-01-01		
% Conductivity calibration date	30/09/2011		
% Temperature calibration date	30/09/2011		
% Pressure calibration date	30/09/2011		
% 			
Time (Seconds)	Pressure (Decibar)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)
21.4	0.512439453	12.02805042	36214.96094
21.6	0.512925492	12.06010056	36218.54688
21.8	0.606384286	12.05501652	36097.16016
22	0.85238424	11.75939465	35813.25391
22.2	1.226895624	11.27352238	35800.89844
22.4	1.698257402	11.14516735	35816.52344
22.6	2.131808855	11.11093616	35806.85938
22.8	2.589305162	11.08652306	35812.63672
23	3.08444681	11.09512043	35812.125
23.2	3.571723505	11.06311512	35802.53125
23.4	4.033113665	11.00821114	35809.27734
23.6	4.427529185	11.0046978	35808.00391
23.8	4.878819934	11.00381088	35803.125
24	5.286606922	10.9915514	35809.5
24.2	5.704928196	10.98824787	35803.55859
24.4	6.165795742	10.98657227	35796.46875
24.6	6.554458698	10.97862911	35787.15625
24.8	6.96352647	10.97014999	35798.37109
25	7.373994236	10.97072506	35794.39844
25.2	7.830942181	10.9639225	35789.75
25.4	8.259424855	10.96395779	35799.92969
25.6	8.676781965	10.95340824	35794.73828
25.8	9.085164998	10.94322395	35781.47656
26	9.517655012	10.92128754	35780.79297
26.2	9.957122106	10.90424156	35779
26.4	10.37142555	10.88455963	35760.46484
26.6	10.79439599	10.85782051	35758.08203
26.8	11.22990533	10.84904385	35762.51172
27	11.66829668	10.85184002	35756.57813
27.2	12.09843112	10.85083103	35762.72656
27.4	12.5341045	10.84860516	35759.42188
27.6	12.96756917	10.85234547	35754.52344
27.8	13.38596197	10.84666157	35749.01563
28	13.80042372	10.83901215	35731.18359
28.2	14.21653915	10.81319427	35712.625
28.4	14.63600578	10.7793293	35695.92188
28.6	15.04594712	10.74022865	35690.85938
28.8	15.45631761	10.73546696	35692.29688
29	15.86688265	10.74143791	35689.33203
29.2	16.28006267	10.7351141	35691.10938
29.4	16.68320622	10.72270203	35686.77344
29.6	17.08604459	10.71442604	35688.71094
29.8	17.49271864	10.70793056	35685.73828
30	17.9027439	10.70550919	35681.49219
30.2	18.30002616	10.70543289	35685.83594
30.4	18.70016754	10.70230389	35671.21484
30.6	19.11293367	10.69753933	35671.67188
30.8	19.51172464	10.69340324	35674.48047
31	19.90824206	10.68677425	35665.71094
31.2	20.29931209	10.68110657	35657.94922
31.4	20.69396984	10.67154789	35654.375
31.6	21.08659436	10.67106056	35667.29688
31.8	21.47106115	10.66886997	35663.48828
32	21.85324675	10.66930866	35660.17969
32.2	22.24832603	10.6704855	35654.4375
32.4	22.64871918	10.66704845	35646.02734
32.6	23.04634286	10.64716148	35636.67188
32.8	23.43677965	10.65226555	35646.17969
33	23.83498698	10.64317513	35638.33203
33.2	24.22084614	10.63368797	35632.83594
33.4	24.60072003	10.63275433	35631.41406
33.6	24.98369146	10.61660767	35586.47266
33.8	25.36535826	10.54456329	35566.25781
34	25.74471335	10.53308105	35594.70313
34.2	26.11167068	10.52570343	35518.75781
34.4	26.48370156	10.41759109	35491.78906
34.6	26.85218095	10.38058472	35501.70313
34.8	27.22499384	10.36686897	35487.91797
35	27.60090427	10.34556484	35474.57422
35.2	27.97622723	10.3316288	35471.00781
35.4	28.36328801	10.32742882	35479.05859
35.6	28.75296949	10.34465218	35494.10547
35.8	29.13096655	10.33625603	35472.82031
36	29.51034835	10.31054688	35457.97656
36.2	29.87728279	10.29909515	35456.62891
36.4	30.18185075	10.29808044	35460.88281
36.6	30.33331201	10.31080627	35476.71094
36.8	30.30638278	10.30970192	35472.36719
37	30.21126583	10.30600929	35461.71875
37.2	30.16137211	10.3127346	35475.63281
37.4	30.17916638	10.31900787	35480.40234
37.6	30.23376867	10.32836914	35479.87891
37.8	30.2646588	10.33681488	35480.60156
38	30.25552131	10.34606171	35491.4375
38.2	30.2290918	10.34096718	35501.66797
38.4	30.21501809	10.33837986	35500.48438
38.6	30.22960039	10.3428793	35512.17188
38.8	30.2451707	10.35120583	35533.65625
39	30.24937702	10.36167049	35533.98438
39.2	30.23184338	10.380867	35547.75781
39.4	30.22196584	10.37305546	35556.16797
39.6	30.22024412	10.37109947	35558.10938
39.8	30.21926246	10.38166618	35554.58203
40	30.22371673	10.39208794	35569.41797
40.2	30.21951928	10.39765739	35575.74609
40.4	30.21310548	10.39993095	35593.35156
40.6	30.20841593	10.39568996	35600.91406
40.8	30.18717822	10.38850212	35581.56641
41	30.13036465	10.36578655	35533.93359
41.2	30.02687062	10.3482008	35472.25391
41.4	29.88682798	10.33634758	35468.60938
41.6	29.74360388	10.32312584	35472.26953
41.8	29.61989959	10.32327843	35467.48828
42	29.50732277	10.32626915	35474.50391
42.2	29.42093003	10.32307434	35480.00391
42.4	29.35107782	10.32705975	35477.34375
42.6	29.27135699	10.33169842	35487.21875
42.8	29.16943843	10.33420563	35479.58594
43	29.07690022	10.33762741	35478.60938
43.2	28.97944104	10.34533024	35471.00781
43.4	28.85361578	10.34529495	35476.87109
43.6	28.69401518	10.33994102	35482.04688
43.8	28.54208976	10.34072685	35475.85938
44	28.42791077	10.36556816	35491.60547
44.2	28.34235726	10.38956833	35513.76563
44.4	28.26691271	10.40111732	35513.78125
44.6	28.20034877	10.40787125	35520.45703
44.8	28.16091114	10.40991688	35523.46094
45	28.14439984	10.41232967	35520.26563
45.2	28.13355718	10.42641258	35534.17578
45.4	28.08894682	10.41755581	35529.17969
45.6	27.98074164	10.40473747	35494.75
45.8	27.84987716	10.39138794	35485.42188
46	27.72173638	10.37862015	35486.54297
46.2	27.6002675	10.37951088	35483.65234
46.4	27.45196222	10.37999725	35495.41406
46.6	27.30565204	10.38190842	35488.4375
46.8	27.17561535	10.38643265	35492.55078
47	27.02762669	10.3888855	35490.66016
47.2	26.83927854	10.38802719	35498.78125
47.4	26.63300894	10.39345169	35506.49219
47.6	26.43145049	10.39742279	35495.95313
47.8	26.22502067	10.3892765	35492.25781
48	26.0360965	10.39367771	35504.02734
48.2	25.8395849	10.49205017	35570.82813
48.4	25.68712923	10.54346085	35583.59766
48.6	25.55584514	10.56935692	35596.58594
48.8	25.38475468	10.56907463	35591.55469
49	25.19231335	10.55523109	35568.64844
49.2	24.99646932	10.54979706	35566.46094
49.4	24.77610442	10.55253506	35580.64063
49.6	24.54793464	10.55349541	35572.04297
49.8	24.36499573	10.56535721	35586.82813
50	24.23143426	10.55442047	35579.92188
50.2	24.07187944	10.52855873	35557.5
50.4	23.83553095	10.52785015	35570.61719
50.6	23.54945026	10.54146767	35571.03125
50.8	23.25094128	10.5500927	35567.69922
51	22.96650472	10.56793213	35588.28516
51.2	22.7049449	10.6053257	35608.28516
51.4	22.51477332	10.61938286	35611.22266
51.6	22.36726532	10.64282894	35617.53125
51.8	22.18622612	10.66052818	35631.88281
52	21.94620027	10.66419601	35622.53125
52.2	21.60830835	10.66717052	35630.56641
52.4	21.24067324	10.6744976	35639.07813
52.6	20.96174511	10.67395592	35639.80078
52.8	20.80886219	10.67641068	35635.82813
53	20.74796308	10.67816162	35636.60938
53.2	20.61541823	10.68874073	35646.45703
53.4	20.38924354	10.68911076	35639.38672
53.6	20.12450798	10.69782734	35651.25781
53.8	19.85740349	10.70275307	35648.28125
54	19.62848031	10.71115685	35658.71094
54.2	19.44968989	10.72093296	35663.94531
54.4	19.33198039	10.73230076	35675.40234
54.6	19.21404201	10.73699093	35674.62891
54.8	19.03752705	10.73406506	35665.87109
55	18.78367483	10.72546101	35668.74219
55.2	18.48451544	10.72175694	35661.13672
55.4	18.1730117	10.72202492	35667.90234
55.6	17.95499664	10.7266922	35662.52344
55.8	17.75897713	10.72655869	35671.41016
56	17.57445894	10.72746468	35665.70313
56.2	17.4289651	10.73380375	35676.36719
56.4	17.28276935	10.73959446	35668.91016
56.6	17.07544689	10.74295235	35671.14844
56.8	16.82092709	10.74295235	35668.68359
57	16.57499609	10.74767017	35668.36719
57.2	16.28459525	10.74802303	35666.90625
57.4	16.03905525	10.74663258	35661.1875
57.6	15.87799744	10.74981117	35671.93359
57.8	15.76366967	10.75443745	35675.25
58	15.61287912	10.76588345	35670.90234
58.2	15.40545367	10.74824142	35665.71484
58.4	15.15456356	10.75209904	35666.15625
58.6	14.87361363	10.74848175	35670.86328
58.8	14.62894719	10.75418282	35677.33203
59	14.39187582	10.76293278	35674.12891
59.2	14.19080375	10.79154682	35682.75
59.4	14.0512017	10.80888653	35692.67969
59.6	13.93297913	10.81775665	35691.39453
59.8	13.75191514	10.83217907	35699.15234
60	13.53036387	10.84118938	35705.71484
60.2	13.289947	10.84003353	35709.48047
60.4	13.0248624	10.84646225	35705.39453
60.6	12.78336979	10.86286449	35723.84375
60.8	12.55430547	10.88998699	35726.34766
61	12.35994917	10.90849781	35750.625
61.2	12.2240245	10.92743683	35753.72266
61.4	12.06874405	10.92680645	35749.07031
61.6	11.82533456	10.92120552	35738.99219
61.8	11.53938356	10.92799377	35746.41406
62	11.23368006	10.9214077	35745.98438
62.2	10.98614307	10.92890072	35748.41797
62.4	10.77931461	10.93946362	35754.47266
62.6	10.5942986	10.95466805	35764.77734
62.8	10.45574751	10.95719624	35757.03125
63	10.34646849	10.95218754	35762.22656
63.2	10.17290801	10.93679523	35749.40234
63.4	9.921083298	10.93920517	35751.77734
63.6	9.607006539	10.94563198	35754.34375
63.8	9.346888673	10.9573555	35746.04688
64	9.124517236	10.96601105	35752.19141
64.2	8.916920122	10.96454239	35763.6875
64.4	8.745331842	10.96939087	35752.15625
64.6	8.623718004	10.97902489	35766.84766
64.8	8.501160029	10.96900654	35755.92188
65	8.304570223	10.95590782	35738.51563
65.2	8.072820353	10.92535114	35739.04297
65.4	7.799667666	10.93929195	35745.26172
65.6	7.533345195	10.93447113	35743.17578
65.8	7.322999591	10.91239166	35745.13281
66	7.130049007	10.90813637	35730.47656
66.2	6.967482487	10.91887665	35749.04297
66.4	6.835527004	10.94039917	35749.02734
66.6	6.70070287	10.94933128	35755.17188
66.8	6.493452893	10.95116138	35758.19922
67	6.224408635	10.9542532	35759.10547
67.2	5.917446286	10.97145939	35764.71875
67.4	5.638724141	10.97377491	35761.82813
67.6	5.458647207	10.98231602	35767.19141
67.8	5.316108801	10.9905529	35761.17188
68	5.174795866	11.00015545	35764.68359
