     3888       -66.44773    45.04538000 2015-05-07 14:20  WCTS_Freshet_Survey_Saint_John_Harbour_C         
     3889       -66.36004    45.02813000 2015-05-07 14:39  WCTS_Freshet_Survey_Saint_John_Harbour_C         
     3890       -66.01424    45.12467000 2015-06-03 15:11  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3891       -66.08025    45.13133000 2015-06-03 15:35  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3892       -66.13204    45.14048000 2015-06-03 15:53  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3893       -66.16758    45.14880000 2015-06-03 16:07  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3894        -66.2346    45.09223000 2015-06-03 16:34  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3895       -66.29959    45.11719000 2015-06-03 16:56  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3906       -66.07773    45.26464000 2015-06-04 14:16  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3896       -66.06749    45.26895000 2015-06-04 14:30  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3897       -66.05484    45.25357000 2015-06-04 14:40  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3898       -66.03759    45.24862000 2015-06-04 14:52  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3899       -66.01731    45.24414000 2015-06-04 15:01  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3900        -66.0193    45.22376000 2015-06-04 15:13  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3901       -66.03642    45.22535000 2015-06-04 15:22  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3902        -66.0584    45.22170000 2015-06-04 15:33  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3903       -66.09852    45.20453000 2015-06-04 15:49  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3904         -66.064    45.19871000 2015-06-04 16:00  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3905       -66.02236    45.19538000 2015-06-04 16:11  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3908       -66.15133    45.06811000 2015-06-05 13:28  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3907       -66.05283    45.04731000 2015-06-05 13:56  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3909       -66.10157    44.94000000 2015-06-05 14:43  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3910       -66.56768    45.03317000 2015-07-06 13:23  WCTS_Saint_John_Harbour                          
     3911       -66.41942    45.06062000 2015-07-06 14:06  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3912       -66.34427    45.02069000 2015-07-06 14:33  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3913        -66.2346    45.09223000 2015-07-06 15:09  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3914       -66.09852    45.02453000 2015-07-06 15:34  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3915       -66.09852    45.02453000 2015-07-06 16:01  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3916       -66.08998    45.21087000 2015-07-06 16:06  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3917         -66.064    45.19871000 2015-07-06 16:18  WCTS_Bay_of_Fundy_Saint_John_Harbour             
