   200    9902 2011 07 01 01 07 00  47.6528   55.4205   2.17    186.7     .064 E     6.83 TR       5 Barrel                         
   200    9902 2011 07 01 01 40 00  47.6534   55.4224   2.03    158.9     .080 E     7.38 TR       5 Barrel                         
   200    9902 2011 07 01 02 07 00  47.6541    55.423   1.87     84.3     .052 E     7.83 TR       5 Barrel                         
   200    9902 2011 07 01 02 49 00  47.6541   55.4236   1.59     49.7     .020 E     8.53 TR       5 Barrel                         
   200    9902 2011 07 01 03 24 00  47.6535   55.4241   1.36     71.9     .034 E     9.12 TR       5 Barrel                         
   200    9902 2011 07 01 03 57 00  47.6527   55.4241   1.15     96.8     .049 E     9.67 TR       5 Barrel                         
   200    9902 2011 07 01 04 26 00   47.652   55.4239   1.00     73.1     .042 E    10.15 TR       5 Barrel                         
   200    9902 2011 07 01 05 01 00  47.6512   55.4237    .85     94.5     .045 E    10.73 TR       5 Barrel                         
   200    9902 2011 07 01 05 35 00  47.6503   55.4232    .75    104.2     .051 E    11.30 TR       5 Barrel                         
   200    9902 2011 07 01 06 17 00  47.6491   55.4225    .71    143.2     .057 S    12.00 TR       5 Barrel                         
   200    9902 2011 07 01 06 49 00  47.6485   55.4224    .74     65.3     .034 F    12.53 TR       5 Barrel                         
   200    9902 2011 07 01 07 26 00  47.6478   55.4221    .84     79.7     .036 F    13.15 TR       5 Barrel                         
   200    9902 2011 07 01 07 49 00  47.6476   55.4222    .93     21.0     .015 F    13.53 TR       5 Barrel                         
   200    9902 2011 07 01 08 20 00  47.6477   55.4224   1.07     16.8     .009 F    14.05 TR       5 Barrel                         
   200    9902 2011 07 01 09 10 00  47.6482   55.4228   1.32     64.1     .021 F    14.88 TR       5 Barrel                         
   200    9902 2011 07 01 09 46 00  47.6486   55.4229   1.51     45.5     .021 F    15.48 TR       5 Barrel                         
   200    9902 2011 07 01 10 13 00  47.6492   55.4236   1.64     82.8     .051 F    15.93 TR       5 Barrel                         
