   273    1003 20151014141013   45.01717   66.93079   4.74 F  Barrel                           
   273    1003 20151014142036   45.01696   66.93076   4.96 F  Barrel                           
   273    1003 20151014143036   45.01696   66.93042   5.17 F  Barrel                           
   273    1003 20151014144010   45.01710   66.92937   5.37 F  Barrel                           
   273    1003 20151014145010   45.01726   66.92889   5.57 F  Barrel                           
   273    1004 20151014103224   45.00593   66.92886    .97 F  Barrel                           
   273    1004 20151014104030   45.00639   66.92825    .99 F  Barrel                           
   273    1004 20151014105022   45.00687   66.92731   1.04 F  Barrel                           
   273    1004 20151014110014   45.00723   66.92624   1.12 F  Barrel                           
   273    1005 20151014103137   45.00593   66.92883    .97 F  Barrel                           
   273    1005 20151014103955   45.00620   66.92813    .99 F  Barrel                           
   273    1005 20151014104954   45.00655   66.92740   1.04 F  Barrel                           
   273    1005 20151014110022   45.00684   66.92650   1.12 F  Barrel                           
   273    1005 20151014110946   45.00713   66.92578   1.21 F  Barrel                           
   273    1005 20151014112005   45.00751   66.92498   1.34 F  Barrel                           
   273    1005 20151014113006   45.00791   66.92419   1.47 F  Barrel                           
   273    1005 20151014113929   45.00816   66.92346   1.60 F  Barrel                           
   273    1005 20151014114924   45.00841   66.92261   1.76 F  Barrel                           
   273    1005 20151014115922   45.00869   66.92203   1.94 F  Barrel                           
   273    1005 20151014120917   45.00904   66.92151   2.12 F  Barrel                           
   273    1005 20151014121935   45.00941   66.92099   2.31 F  Barrel                           
   273    1005 20151014122935   45.00988   66.92064   2.51 F  Barrel                           
   273    1005 20151014123901   45.01036   66.92086   2.72 F  Barrel                           
   273    1005 20151014131848   45.01368   66.92162   3.57 F  Barrel                           
   273    1005 20151014132906   45.01479   66.92160   3.82 F  Barrel                           
   273    1005 20151014133839   45.01596   66.92151   4.02 F  Barrel                           
   273    1005 20151014134833   45.01689   66.92160   4.25 F  Barrel                           
   273    1005 20151014135831   45.01770   66.92664   4.47 F  Barrel                           
   273    1005 20151014140825   45.01775   66.93060   4.70 F  Barrel                           
   273    1005 20151014141822   45.01924   66.93353   4.91 F  Barrel                           
   273    1005 20151014142854   45.02375   66.93704   5.13 F  Barrel                           
   273    1005 20151014143818   45.02914   66.93839   5.33 F  Barrel                           
   273    1005 20151014144814   45.03011   66.94414   5.53 F  Barrel                           
   273    1005 20151014145813   45.02811   66.94806   5.72 F  Barrel                           
   273    1005 20151014150811   45.02761   66.95325   5.89 F  Barrel                           
   274    1001 20151015102634   45.00599   66.92874   1.20 E  Barrel                           
   274    1001 20151015103515   45.00578   66.92780   1.13 E  Barrel                           
   274    1001 20151015104514   45.00562   66.92676   1.07 E  Barrel                           
   274    1001 20151015105509   45.00547   66.92641   1.04 E  Barrel                           
   274    1001 20151015110507   45.00547   66.92641   1.03 S  Barrel                           
   274    1001 20151015111502   45.00547   66.92641   1.05 F  Barrel                           
   274    1001 20151015112537   45.00547   66.92641   1.10 F  Barrel                           
   274    1001 20151015113456   45.00548   66.92641   1.16 F  Barrel                           
   274    1001 20151015114454   45.00568   66.92572   1.25 F  Barrel                           
   274    1001 20151015115450   45.00539   66.92480   1.36 F  Barrel                           
   274    1001 20151015120448   45.00494   66.92477   1.49 F  Barrel                           
   274    1001 20151015121444   45.00462   66.92514   1.64 F  Barrel                           
   274    1001 20151015122506   45.00459   66.92514   1.81 F  Barrel                           
   274    1001 20151015123441   45.00460   66.92514   1.97 F  Barrel                           
   274    1001 20151015124437   45.00424   66.92484   2.14 F  Barrel                           
   274    1001 20151015125434   45.00282   66.92487   2.33 F  Barrel                           
   274    1001 20151015130434   45.00169   66.92404   2.53 F  Barrel                           
   274    1001 20151015131430   45.00055   66.92303   2.73 F  Barrel                           
   274    1001 20151015132505   44.99907   66.92221   2.96 F  Barrel                           
   274    1001 20151015133424   44.99753   66.92139   3.15 F  Barrel                           
   274    1001 20151015134422   44.99577   66.92053   3.36 F  Barrel                           
   274    1001 20151015135418   44.99345   66.91949   3.58 F  Barrel                           
   274    1001 20151015140416   44.99092   66.92077   3.80 F  Barrel                           
   274    1001 20151015141411   44.98962   66.91895   4.03 F  Barrel                           
   274    1001 20151015142434   44.98939   66.91748   4.25 F  Barrel                           
   274    1001 20151015143401   44.98952   66.91665   4.47 F  Barrel                           
   274    1001 20151015144358   44.98894   66.91643   4.66 F  Barrel                           
   274    1001 20151015145353   44.98862   66.91650   4.88 F  Barrel                           
   274    1001 20151015150351   44.98784   66.91779   5.09 F  Barrel                           
   274    1001 20151015151346   44.98765   66.91837   5.29 F  Barrel                           
   274    1001 20151015152408   44.98767   66.91970   5.51 F  Barrel                           
   274    1001 20151015153339   44.98743   66.92032   5.67 F  Barrel                           
   274    1001 20151015154337   44.98693   66.92037   5.84 F  Barrel                           
   274    1001 20151015155335   44.98721   66.91913   6.00 F  Barrel                           
   274    1001 20151015160330   44.98767   66.91837   6.15 F  Barrel                           
   274    1001 20151015161357   44.98832   66.91913   6.28 F  Barrel                           
   274    1001 20151015162402   44.98767   66.91794   6.39 F  Barrel                           
   274    1001 20151015163320   44.98760   66.91768   6.47 F  Barrel                           
   274    1002 20151015102634   45.00599   66.92874   1.20 E  Barrel                           
   274    1002 20151015103428   45.00591   66.92819   1.13 E  Barrel                           
   274    1002 20151015104428   45.00571   66.92722   1.08 E  Barrel                           
   274    1002 20151015105458   45.00558   66.92694   1.04 E  Barrel                           
   274    1002 20151015110425   45.00559   66.92694   1.03 F  Barrel                           
   274    1002 20151015112659   45.00559   66.92694   1.11 F  Barrel                           
   274    1002 20151015113620   45.00559   66.92694   1.18 F  Barrel                           
   274    1002 20151015114620   45.00581   66.92650   1.27 F  Barrel                           
   274    1002 20151015115617   45.00552   66.92563   1.39 F  Barrel                           
   274    1002 20151015120617   45.00516   66.92507   1.52 F  Barrel                           
